County_Name,State_FIPS,Total_Incidents,Total_Victims_Killed,Total_Victims_Injured,Total_Suspects_Killed,Total_Suspects_Injured
Albany,36.0,24,11,118,0.0,0.0
Erie,36.0,24,28,96,0.0,0.0
Grafton,33.0,23,23,0,0.0,0.0
Windsor,50.0,23,23,0,0.0,0.0
Duval,12.0,23,13,93,2.0,0.0
DeKalb,13.0,23,19,94,0.0,2.0
San Francisco,6.0,23,11,106,2.0,0.0
Maui,15.0,23,23,0,0.0,0.0
Mobile,1.0,23,17,107,0.0,6.0
Norfolk,51.0,22,16,84,0.0,0.0
Winnebago,17.0,22,22,78,0.0,2.0
San Diego,6.0,22,22,76,2.0,0.0
Gilmer,54.0,21,21,0,0.0,0.0
Fayette,54.0,20,20,0,0.0,0.0
Ramsey,27.0,20,24,80,0.0,6.0
Sedgwick,20.0,20,20,78,2.0,0.0
San Bernardino,6.0,20,20,84,0.0,0.0
Riverside,6.0,20,26,66,0.0,0.0
Larimer,8.0,20,20,0,0.0,0.0
San Joaquin,6.0,19,12,80,0.0,0.0
Cecil,24.0,19,27,4,2.0,0.0
Lyman,46.0,19,19,0,0.0,0.0
Sagadahoc,23.0,19,25,6,0.0,0.0
Hudson,34.0,18,16,72,4.0,2.0
Arapahoe,8.0,18,6,80,0.0,0.0
Cumberland,37.0,18,26,52,0.0,2.0
Salt Lake,49.0,18,30,24,2.0,0.0
Jefferson,48.0,18,12,76,0.0,0.0
Portsmouth,51.0,18,17,57,0.0,0.0
Ouachita,22.0,18,20,66,2.0,2.0
Durham,37.0,18,22,64,0.0,0.0
Forsyth,37.0,18,12,72,0.0,4.0
Travis,48.0,18,18,68,0.0,0.0
Contra Costa,6.0,18,30,66,0.0,0.0
Douglas,31.0,18,11,82,0.0,5.0
Genesee,26.0,17,13,72,0.0,0.0
Orange,6.0,17,23,61,2.0,2.0
Delaware,42.0,17,25,62,2.0,0.0
Caroline,24.0,17,17,0,0.0,0.0
St. Clair,17.0,16,16,62,0.0,0.0
Will,17.0,16,42,60,4.0,0.0
Kidder,38.0,16,16,0,0.0,0.0
Kern,6.0,16,24,56,2.0,0.0
Ingham,26.0,16,8,66,0.0,0.0
Wake,37.0,15,16,54,0.0,2.0
Horry,45.0,15,10,72,0.0,0.0
Richmond,13.0,15,10,54,0.0,0.0
Montgomery,39.0,15,32,78,4.0,0.0
Jefferson,5.0,14,16,58,0.0,2.0
Leon,12.0,14,8,62,0.0,2.0
Adams,8.0,14,12,58,0.0,2.0
Calcasieu,22.0,14,4,64,0.0,0.0
Somerset,23.0,13,13,0,0.0,0.0
Chatham,13.0,13,10,65,0.0,4.0
Summit,39.0,13,4,103,0.0,0.0
Lehigh,42.0,13,7,61,0.0,0.0
Jefferson,22.0,13,16,38,7.0,0.0
Onondaga,36.0,13,6,58,0.0,3.0
Oakland,26.0,13,11,57,2.0,0.0
Lake,18.0,13,20,47,0.0,0.0
Hamilton,19.0,13,13,0,0.0,0.0
Kenosha,55.0,12,20,34,2.0,0.0
Lafayette,22.0,12,12,58,0.0,4.0
Kanawha,54.0,12,18,0,0.0,0.0
Essex,25.0,12,12,58,0.0,0.0
New York,36.0,12,2,58,0.0,2.0
Clayton,13.0,12,13,45,2.0,0.0
Nassau,36.0,12,12,40,2.0,0.0
Muscogee,13.0,12,14,48,0.0,0.0
Charlottesville,51.0,12,12,0,0.0,0.0
Dougherty,13.0,12,8,42,0.0,0.0
Pinellas,12.0,12,10,46,0.0,0.0
Virginia Beach,51.0,11,24,54,2.0,0.0
Harrison,28.0,11,18,44,0.0,0.0
Androscoggin,23.0,11,48,32,5.0,0.0
Washoe,32.0,11,13,43,3.0,4.0
Potter,48.0,11,7,64,0.0,0.0
St. Joseph,18.0,10,2,52,0.0,0.0
Meagher,30.0,10,10,0,0.0,0.0
Palm Beach,12.0,10,14,28,0.0,0.0
Snohomish,53.0,10,14,28,0.0,0.0
Queens,36.0,10,2,50,0.0,0.0
Santa Clara,6.0,10,34,20,4.0,0.0
Nueces,48.0,10,12,32,0.0,2.0
York,45.0,10,18,28,2.0,0.0
Allen,18.0,10,4,48,2.0,2.0
Brevard,12.0,10,20,24,2.0,0.0
Falls,48.0,10,10,0,0.0,0.0
Union,34.0,10,8,8,0.0,0.0
Kent,24.0,10,10,0,0.0,0.0
Champaign,17.0,10,8,36,0.0,0.0
Wright,27.0,10,10,8,0.0,0.0
Kent,26.0,10,4,42,0.0,0.0
Carroll,33.0,10,10,0,0.0,0.0
Iberia,22.0,10,4,42,0.0,4.0
Bristol,44.0,9,9,0,0.0,0.0
Rutland,50.0,9,9,0,0.0,0.0
Hamilton,47.0,9,8,56,0.0,2.0
Wilson,47.0,9,9,0,0.0,0.0
Clark,39.0,9,7,38,0.0,0.0
Robeson,37.0,8,10,30,0.0,0.0
Escambia,12.0,8,6,36,0.0,0.0
Dane,55.0,8,6,50,2.0,0.0
Lancaster,42.0,8,4,28,2.0,0.0
Madison,47.0,8,6,36,2.0,0.0
Alachua,12.0,8,4,34,0.0,0.0
Spartanburg,45.0,8,22,14,2.0,0.0
Elkhart,18.0,8,11,45,5.0,0.0
Sheridan,38.0,8,8,0,0.0,0.0
Stanislaus,6.0,8,4,36,0.0,0.0
Webster,22.0,7,4,32,0.0,0.0
Florence,45.0,7,3,35,0.0,3.0
Chesterfield,51.0,7,10,25,0.0,0.0
Troup,13.0,7,3,34,0.0,0.0
Lowndes,13.0,7,4,24,0.0,0.0
Knox,47.0,7,0,28,0.0,0.0
Macomb,26.0,7,5,30,0.0,0.0
Gwinnett,13.0,7,6,25,0.0,0.0
Glynn,13.0,7,5,29,0.0,0.0
Pima,4.0,7,8,24,2.0,0.0
Mahoning,39.0,6,8,20,0.0,2.0
Solano,6.0,6,8,18,0.0,0.0
Pike,28.0,6,2,28,0.0,2.0
Henrico,51.0,6,6,26,0.0,0.0
Fort Bend,48.0,6,12,12,4.0,0.0
Petersburg,51.0,6,2,26,0.0,0.0
Wayne,42.0,6,6,0,0.0,0.0
Santa Barbara,6.0,6,14,10,2.0,0.0
Niagara,36.0,6,2,26,0.0,0.0
Collin,48.0,6,24,22,6.0,0.0
Coahoma,28.0,6,4,20,0.0,0.0
Clark,53.0,6,14,10,2.0,0.0
Volusia,12.0,6,0,28,0.0,0.0
Vermilion,17.0,6,4,22,0.0,0.0
Greater Bridgeport,9.0,6,6,18,0.0,0.0
Vanderburgh,18.0,6,0,28,0.0,0.0
Chesapeake,51.0,6,18,24,2.0,0.0
Bowie,48.0,6,16,24,0.0,0.0
Franklin,23.0,6,6,0,0.0,0.0
Peoria,17.0,6,8,18,0.0,0.0
Westchester,36.0,6,2,24,0.0,0.0
Terrebonne,22.0,6,0,26,0.0,0.0
Hughes,46.0,6,6,0,0.0,0.0
Laurens,13.0,6,6,24,0.0,0.0
Suffolk,36.0,6,6,26,0.0,0.0
Rock,55.0,6,2,28,0.0,0.0
Kalamazoo,26.0,6,0,38,0.0,0.0
Sampson,37.0,6,12,18,0.0,0.0
Leflore,28.0,6,6,38,0.0,0.0
Yakima,53.0,6,16,16,2.0,0.0
Sumter,45.0,6,10,14,0.0,0.0
Lauderdale,28.0,6,10,14,0.0,0.0
Racine,55.0,6,0,32,2.0,0.0
St. Charles,22.0,6,4,22,0.0,0.0
Lake,17.0,6,16,76,0.0,0.0
Lowndes,28.0,6,4,22,0.0,2.0
Lubbock,48.0,6,8,16,0.0,0.0
Linn,19.0,6,10,34,0.0,0.0
Bolivar,28.0,6,12,12,0.0,0.0
Queen Anne's,24.0,6,6,0,0.0,0.0
Lafourche,22.0,6,0,30,0.0,0.0
