Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Geocoding Match,Matched Address
3273353,"July 27, 2025",Indiana,Indianapolis,3900 block of Hornickel Dr,0,5,0,0,0,,39.828756924608,-85.960863045092,Match,"3900 HORNICKEL DR, INDIANAPOLIS, IN, 46235"
3273527,"July 27, 2025",Colorado,Denver,20th St and Market St,0,4,0,0,1,,39.753650579289,-104.993418389007,Match,"20TH ST & MARKET ST, DENVER, CO, 80202"
3274001,"July 27, 2025",Michigan,Flint,3241 Industrial Ave,1,4,0,0,0,,43.044960661529,-83.687339423354,Match,"3241 INDUSTRIAL AVE, FLINT, MI, 48505"
3272738,"July 27, 2025",Illinois,Mount Vernon,600 block of S 15th St,2,5,0,0,3,,38.310928726683,-88.908769964219,Match,"600 S 15TH ST, MOUNT VERNON, IL, 62864"
3272694,"July 26, 2025",Pennsylvania,Philadelphia,1900 block of W Hunting Park Ave,2,2,0,0,1,,40.01359801207,-75.158716257566,Match,"1900 W HUNTING PARK AVE, PHILADELPHIA, PA, 19140"
3273390,"July 26, 2025",Mississippi,Yazoo City,Leach St,0,4,0,0,0,,,,No_Match,
3271342,"July 24, 2025",Georgia,Atlanta,279 Oak Dr,1,5,0,0,0,,33.634878987996,-84.397387027522,Match,"279 OAK DR, ATLANTA, GA, 30354"
3271477,"July 24, 2025",Pennsylvania,Philadelphia,2300 block of N Lambert St,0,4,0,0,0,,39.989325672365,-75.166687543615,Match,"2300 N LAMBERT ST, PHILADELPHIA, PA, 19132"
3269743,"July 23, 2025",California,Needles,1900 block of Erin Dr,1,3,0,0,0,,,,No_Match,
3267641,"July 20, 2025",Mississippi,Waynesboro,Turner St and Grey St,0,5,0,0,0,,31.677258165388,-88.652474197438,Match,"TURNER ST & GRAY ST, WAYNESBORO, MS, 39367"
3266723,"July 20, 2025",Illinois,Chicago,4935 W Ferdinand St,0,4,0,0,0,,41.889478503317,-87.748937282554,Match,"4935 W FERDINAND ST, CHICAGO, IL, 60644"
3266713,"July 19, 2025",Tennessee,Cordova,71 Fern Glade Cove,1,4,0,0,0,,35.122326038676,-89.755100954704,Match,"71 FERN GLADE COVE, CORDOVA, TN, 38018"
3266988,"July 19, 2025",Arkansas,Little Rock,1800 Broadway St,0,4,0,0,1,,34.732034439492,-92.278481242592,Match,"1800 BROADWAY ST, LITTLE ROCK, AR, 72206"
3266574,"July 19, 2025",Ohio,Cleveland,16400 block of Highview Ave,1,3,0,0,0,,,,No_Match,
3265909,"July 19, 2025",Illinois,Chicago,8200 block of S Houston Ave,1,3,0,0,0,,41.746433835926,-87.550445170459,Match,"8200 S HOUSTON AVE, CHICAGO, IL, 60617"
3264154,"July 15, 2025",New York,Bronx,E 187th St and Park Ave,0,4,0,0,0,,,,Tie,
3261500,"July 13, 2025",Kentucky,Lexington,5899 Old Richmond Rd,2,3,1,0,0,,37.939402721048,-84.405363527406,Match,"5899 OLD RICHMOND RD, LEXINGTON, KY, 40515"
3262173,"July 13, 2025",Texas,Houston,6502 Dixie Dr,2,15,0,0,0,,29.679472308709,-95.313899798122,Match,"6502 DIXIE DR, HOUSTON, TX, 77087"
3261407,"July 13, 2025",North Carolina,Charlotte,300 N College St,1,5,0,0,3,,35.227835025585,-80.839643637034,Match,"300 N COLLEGE ST, CHARLOTTE, NC, 28202"
3261161,"July 12, 2025",Wisconsin,Milwaukee,618 N Water St,2,3,0,0,1,,43.037617519233,-87.908956363707,Match,"618 N WATER ST, MILWAUKEE, WI, 53202"
3261223,"July 12, 2025",Texas,Round Rock,1401 A W Grimes Blvd,2,2,0,0,0,,30.510641940199,-97.6550653702,Match,"1401 S A W GRIMES BLVD, ROUND ROCK, TX, 78664"
3261477,"July 12, 2025",Pennsylvania,Easton,100 block of Wilkes Barre St,0,6,0,0,2,,,,Tie,
3261096,"July 12, 2025",Tennessee,Chattanooga,6900 Ty Hi Dr,0,4,0,0,0,,35.060155570444,-85.155728354858,Match,"6900 TY HI DR, CHATTANOOGA, TN, 37421"
3260230,"July 8, 2025",Idaho,Burley,723 E 14th St,4,0,0,0,1,,42.535430635576,-113.784599272075,Match,"723 E 14TH ST, BURLEY, ID, 83318"
3255423,"July 7, 2025",Ohio,Akron,700 E Exchange St,0,5,0,0,0,,41.071074683359,-81.497242171589,Match,"700 E EXCHANGE ST, AKRON, OH, 44306"
3254794,"July 7, 2025",Pennsylvania,Philadelphia,N 62nd St and Vine St,0,4,0,0,0,,39.967065934747,-75.243746702782,Match,"N 62ND ST & VINE ST, PHILADELPHIA, PA, 19139"
3255922,"July 7, 2025",California,Los Angeles,10305 Main St,0,4,0,0,0,,33.942757202409,-118.273943436552,Match,"10305 S MAIN ST, LOS ANGELES, CA, 90003"
3254764,"July 7, 2025",Pennsylvania,Philadelphia,1500 block of S Etting St,3,9,0,0,3,,39.934466363809,-75.190044693567,Match,"1500 S ETTING ST, PHILADELPHIA, PA, 19146"
3254338,"July 6, 2025",Louisiana,Natchitoches,300 block of Keyser Ave,1,5,0,0,2,,,,No_Match,
3254122,"July 6, 2025",Ohio,Toledo,159 Matzinger Rd,2,2,0,0,0,,41.70415241491,-83.542371814876,Match,"159 MATZINGER RD, TOLEDO, OH, 43612"
3253874,"July 5, 2025",Hawaii,Honolulu,Palamea Ln,0,4,0,0,0,,,,No_Match,
3253521,"July 5, 2025",Texas,Dallas,S Good Latimer Expy and Canton St,1,4,0,1,1,,32.78156726202,-96.786473978137,Match,"S GOOD LATIMER ST & CANTON ST, DALLAS, TX, 75201"
3253096,"July 5, 2025",New York,Albany,300 block of Livingston Ave,0,5,0,0,0,,42.663695117673,-73.758774716337,Match,"300 LIVINGSTON AVE, ALBANY, NY, 12206"
3253594,"July 5, 2025",Texas,Lubbock,2902 Parkway Dr,0,5,1,0,0,,,,No_Match,
3253722,"July 5, 2025",Missouri,Saint Louis,N 9th St and Chambers St,1,3,0,0,0,,38.646721854527,-90.188989312106,Match,"N 9TH ST & CHAMBERS ST, SAINT LOUIS, MO, 63102"
3254389,"July 5, 2025",Alabama,Talladega,1509 Old Shocco Rd,4,0,0,0,1,,33.437417666562,-86.151903486523,Match,"1509 OLD SHOCCO RD, TALLADEGA, AL, 35160"
3253940,"July 5, 2025",California,San Francisco,100 block of Harbor Rd,1,4,0,0,0,,37.733391120942,-122.380254436217,Match,"100 HARBOR RD, SAN FRANCISCO, CA, 94124"
3254494,"July 5, 2025",Washington,Sedro Woolley,697 Pacific St,1,5,0,0,0,,48.504391276524,-122.231192354871,Match,"697 PACIFIC ST, SEDRO WOOLLEY, WA, 98284"
3253085,"July 5, 2025",Massachusetts,Brockton,May St,0,6,0,0,0,,,,No_Match,
3253102,"July 5, 2025",Pennsylvania,Philadelphia,1136 S 11th St,0,8,0,0,1,,39.936171760478,-75.161686546113,Match,"1136 S 11TH ST, PHILADELPHIA, PA, 19147"
3253021,"July 5, 2025",Illinois,Chicago,2700 block of S California Blvd,0,4,0,0,0,,,,No_Match,
3253050,"July 5, 2025",Indiana,Indianapolis,W Washington St and S Illinois St,2,5,0,0,4,,39.767122444035,-86.159892875597,Match,"W WASHINGTON ST & S ILLINOIS ST, INDIANAPOLIS, IN, 46204"
3253569,"July 5, 2025",Ohio,Cleveland,11501 Buckeye Rd,1,5,0,0,0,,41.481210655563,-81.604355320165,Match,"11501 BUCKEYE RD, CLEVELAND, OH, 44104"
3253812,"July 4, 2025",California,Los Angeles,626 W 99th St,0,4,0,0,0,,33.946378487188,-118.285355994051,Match,"626 W 99TH ST, LOS ANGELES, CA, 90044"
3253257,"July 4, 2025",New York,Albany,333 Madison Ave,1,3,0,0,3,,42.65062245192,-73.764319562758,Match,"333 MADISON AVE, ALBANY, NY, 12210"
3252972,"July 4, 2025",Illinois,Chicago,4859 S Justine St,0,7,0,0,0,,41.805613397407,-87.663595928602,Match,"4859 S JUSTINE ST, CHICAGO, IL, 60609"
3252547,"July 4, 2025",Ohio,Columbus,827 Wilson Ave,1,5,0,0,0,,39.948600299611,-82.967448895158,Match,"827 WILSON AVE, COLUMBUS, OH, 43206"
3253178,"July 4, 2025",Virginia,Charlottesville,Orangedale Ave,0,5,0,0,1,,,,No_Match,
3253871,"July 4, 2025",Ohio,Dayton,1600 block of W Grand Ave,0,4,0,0,0,,39.766811558623,-84.223035491988,Match,"1600 W GRAND AVE, DAYTON, OH, 45402"
3252080,"July 3, 2025",Illinois,Chicago,1607 W 59th St,0,4,0,0,0,,41.786682868325,-87.664939406938,Match,"1607 W 59TH ST, CHICAGO, IL, 60636"
3251873,"July 3, 2025",Illinois,Chicago,600 block of E 133rd St,0,5,0,0,0,,41.653764824918,-87.606225758504,Match,"600 E 133RD ST, CHICAGO, IL, 60827"
3252377,"July 3, 2025",Georgia,Atlanta,600 SE Martin St,0,4,0,0,0,,33.737838803103,-84.384014212818,Match,"600 MARTIN ST SE, ATLANTA, GA, 30312"
3251635,"July 2, 2025",Illinois,Chicago,311 W Chicago Ave,4,14,0,0,0,,41.896510929147,-87.636342199756,Match,"311 W CHICAGO AVE, CHICAGO, IL, 60654"
3251608,"July 1, 2025",Kentucky,Nicholasville,Brannon Rd and US-27,0,4,0,0,0,,,,No_Match,
3249480,"June 29, 2025",South Carolina,Kingstree,200 N Brooks St,2,2,0,0,0,,33.666438024927,-79.824101018064,Match,"200 N BROOKS ST, KINGSTREE, SC, 29556"
3248471,"June 29, 2025",Alabama,Mobile,Springhill Ave and Catherine St,0,4,0,0,0,,,,No_Match,
3248330,"June 28, 2025",Missouri,Kansas City,E 24th St and Lister Ave,1,3,0,0,0,,39.082079016636,-94.527640581012,Match,"E 24TH ST & LISTER AVE, KANSAS CITY, MO, 64127"
3248741,"June 28, 2025",Texas,Austin,900 E Braker Ln,0,4,0,0,0,,30.376178408511,-97.673900707869,Match,"900 E BRAKER LN, AUSTIN, TX, 78753"
3248162,"June 28, 2025",Louisiana,New Orleans,8500 block of Bill St,0,4,0,0,0,,30.041536067828,-89.997791108931,Match,"8500 BILL ST, NEW ORLEANS, LA, 70127"
3249173,"June 28, 2025",Ohio,Columbus,800 block of Avonia Dr,1,3,0,0,0,,39.936474843601,-83.119936737157,Match,"800 AVONIA DR, COLUMBUS, OH, 43228"
3248449,"June 28, 2025",Ohio,Springfield,1000 block of W Rose St,1,4,0,0,0,,39.909501900541,-83.829100133202,Match,"1000 W ROSE ST, SPRINGFIELD, OH, 45506"
3248058,"June 27, 2025",Oregon,Portland,14919 SE Stark St,0,4,0,0,1,,45.519213189661,-122.509659669552,Match,"14919 SE STARK ST, PORTLAND, OR, 97233"
3247121,"June 26, 2025",New Jersey,Trenton,100 block of Passaic St,1,3,0,0,2,,40.224235101544,-74.773302244679,Match,"100 PASSAIC ST, TRENTON, NJ, 08618"
3246330,"June 25, 2025",Mississippi,Moorhead,800 E Southern Ave,0,4,0,0,0,,33.449296171406,-90.499708323408,Match,"800 S SOUTHERN AVE, MOORHEAD, MS, 38761"
3245226,"June 23, 2025",Georgia,Jonesboro,148 Church St,0,4,0,0,1,,33.520170808446,-84.358218109232,Match,"148 CHURCH ST, JONESBORO, GA, 30236"
3244129,"June 23, 2025",New Jersey,Newark,367 6th Ave W,1,4,0,0,0,,40.758888871779,-74.194588207696,Match,"367 6TH AVE W, NEWARK, NJ, 07107"
3243988,"June 23, 2025",Maryland,Baltimore,2500 block of Edmondson Ave,0,4,0,0,0,,39.294793754477,-76.656414121248,Match,"2500 EDMONDSON AVE, BALTIMORE, MD, 21223"
3243663,"June 23, 2025",Maryland,Baltimore,1900 block of McHenry St,0,4,0,0,0,,39.284299143561,-76.646799160469,Match,"1900 MCHENRY ST, BALTIMORE, MD, 21223"
3242938,"June 22, 2025",Missouri,Springfield,505 E St Louis St,0,4,0,0,0,,,,Tie,
3242853,"June 22, 2025",Michigan,Ferndale,21298 Majestic Ave,1,3,0,0,0,,42.450569301936,-83.163875542128,Match,"21298 MAJESTIC AVE, FERNDALE, MI, 48220"
3242627,"June 22, 2025",Louisiana,Baton Rouge,3535 S Choctaw Dr,1,6,0,0,2,,30.470279419101,-91.154448454302,Match,"3535 CHOCTAW DR, BATON ROUGE, LA, 70805"
3242908,"June 22, 2025",Missouri,Kansas City,Vine St and E 19th St,2,4,0,0,1,,39.089828017391,-94.563429070674,Match,"VINE ST & E 19TH ST, KANSAS CITY, MO, 64108"
3242610,"June 22, 2025",New Jersey,East Orange,375 Central Ave,0,4,0,0,0,,40.766064935463,-74.236252970507,Match,"375 CENTRAL AVE, ORANGE, NJ, 07050"
3243238,"June 22, 2025",Pennsylvania,Pittsburgh,N St Clair St and Broad St,0,5,0,0,2,,40.463839023385,-79.928209202155,Match,"N ST CLAIR ST & BROAD ST, PITTSBURGH, PA, 15206"
