Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address
1967914,"April 3, 2021",North Carolina,Wilmington,718 Kidder St,3,4,0,0,0,,"34.219593, -77.937945","https://www.google.com/maps?q=34.219592877202,-77.937945282506",34.219592877202,-77.937945282506,Match,"718 KIDDER ST, WILMINGTON, NC, 28401"
1967893,"April 3, 2021",Alabama,Tuscaloosa,2314 4th St,0,4,0,1,1,,"33.211178, -87.567587","https://www.google.com/maps?q=33.211177760209,-87.567586543282",33.211177760209,-87.567586543282,Match,"2314 4TH ST, TUSCALOOSA, AL, 35401"
1969221,"April 3, 2021",Texas,Allen,1517 Pine Bluff Dr,4,0,2,0,0,,"33.091765, -96.631199","https://www.google.com/maps?q=33.091765057838,-96.631198788801",33.091765057838,-96.631198788801,Match,"1517 PINE BLUFF DR, ALLEN, TX, 75002"
1968553,"April 3, 2021",Florida,Quincy,2114 Pat Thomas Parkway,0,7,0,0,0,,"30.557467, -84.592931","https://www.google.com/maps?q=30.557466770833,-84.5929310555",30.557466770833,-84.5929310555,Match,"2114 PAT THOMAS PKWY, QUINCY, FL, 32351"
1966181,"March 31, 2021",California,Orange,202 West Lincoln Ave,4,1,0,1,1,,"33.835419, -117.853407","https://www.google.com/maps?q=33.835418712423,-117.853407394304",33.835418712423,-117.853407394304,Match,"202 W LINCOLN AVE, ORANGE, CA, 92865"
1965890,"March 31, 2021",District of Columbia,Washington,1300 block of Congress St SE,2,3,0,0,1,,"38.841931, -76.988456","https://www.google.com/maps?q=38.841930884137,-76.988455665347",38.841930884137,-76.988455665347,Match,"1300 CONGRESS ST SE, WASHINGTON, DC, 20032"
1963556,"March 28, 2021",Ohio,Cleveland,5100 Pearl Rd,0,7,0,0,0,,"41.421074, -81.725409","https://www.google.com/maps?q=41.421073983819,-81.725409428155",41.421073983819,-81.725409428155,Match,"5100 PEARL RD, CLEVELAND, OH, 44129"
1963598,"March 28, 2021",Maryland,Essex,1601 Middleborough Rd,4,1,1,0,0,,"39.305823, -76.441618","https://www.google.com/maps?q=39.305823364595,-76.441618493292",39.305823364595,-76.441618493292,Match,"1601 MIDDLEBOROUGH RD, ESSEX, MD, 21221"
1964030,"March 28, 2021",Texas,San Antonio,2011 Dollarhide Ave,0,4,0,0,0,,"29.367105, -98.438220","https://www.google.com/maps?q=29.367104862769,-98.43821969096",29.367104862769,-98.43821969096,Match,"2011 DOLLARHIDE AVE, SAN ANTONIO, TX, 78223"
1964085,"March 28, 2021",Illinois,Chicago,I-57 and W 127th St,0,4,0,0,0,,"41.663885, -87.623516","https://www.google.com/maps?q=41.663885186853,-87.623515835405",41.663885186853,-87.623515835405,Match,"57 W 127TH ST, CHICAGO, IL, 60628"
1963052,"March 27, 2021",Illinois,Chicago,500 block of N Leamington Ave,0,4,0,0,0,,"41.889369, -87.754254","https://www.google.com/maps?q=41.889369008124,-87.754253563248",41.889369008124,-87.754253563248,Match,"500 N LEAMINGTON AVE, CHICAGO, IL, 60644"
1962934,"March 27, 2021",Mississippi,Yazoo City,1109 Dr Martin Luther King Jr Dr,0,6,0,0,0,,"32.864039, -90.411317","https://www.google.com/maps?q=32.864038594735,-90.411317364892",32.864038594735,-90.411317364892,Match,"1109 DR MARTIN LUTHER KING JR DR, YAZOO CITY, MS, 39194"
1962686,"March 27, 2021",Illinois,River Grove,Belmont Ave,1,3,0,0,0,,Belmont Ave,,,,No_Match,
1962562,"March 26, 2021",Virginia,Virginia Beach,2000 block of Atlantic Ave,0,9,0,0,7,,"36.848304, -75.975136","https://www.google.com/maps?q=36.848304490505,-75.97513576712",36.848304490505,-75.97513576712,Match,"2000 ATLANTIC AVE, VIRGINIA BEACH, VA, 23451"
1964271,"March 26, 2021",Virginia,Norfolk,100 block of W Balview Ave,0,4,0,0,0,,"36.952228, -76.252244","https://www.google.com/maps?q=36.952228120458,-76.252243771221",36.952228120458,-76.252243771221,Match,"100 W BALVIEW AVE, NORFOLK, VA, 23503"
1962890,"March 26, 2021",Tennessee,Memphis,500 block of Arrington Ave,3,2,0,0,0,,"35.171901, -90.038984","https://www.google.com/maps?q=35.17190136211,-90.038984170803",35.17190136211,-90.038984170803,Match,"500 ARRINGTON AVE, MEMPHIS, TN, 38107"
1961753,"March 26, 2021",Illinois,Chicago,2515 W 79th St,1,7,0,0,0,,"41.749999, -87.685898","https://www.google.com/maps?q=41.749998907152,-87.685898206114",41.749998907152,-87.685898206114,Match,"2515 W 79TH ST, CHICAGO, IL, 60652"
1962507,"March 26, 2021",Pennsylvania,Philadelphia,1080 N Delaware Ave,0,7,0,0,1,,"39.965668, -75.132647","https://www.google.com/maps?q=39.96566765207,-75.132646883703",39.96566765207,-75.132646883703,Match,"1080 N DELAWARE AVE, PHILADELPHIA, PA, 19125"
1960283,"March 23, 2021",Alabama,Aliceville,1st Ave SW and 15th St,2,2,0,0,0,,1st Ave SW and 15th St,,,,Tie,
1958652,"March 22, 2021",Colorado,Boulder,3600 Table Mesa Dr,10,0,0,1,1,,"39.983794, -105.252619","https://www.google.com/maps?q=39.983794375644,-105.252618836721",39.983794375644,-105.252618836721,Match,"3600 TABLE MESA DR, BOULDER, CO, 80305"
1959549,"March 22, 2021",Michigan,Detroit,Davison Fwy and Woodrow Wilson St,1,3,0,0,0,,Davison Fwy and Woodrow Wilson St,,,,No_Match,
1957188,"March 20, 2021",Texas,Houston,10266 North Fwy,0,5,0,0,0,,10266 North Fwy,,,,No_Match,
1957226,"March 20, 2021",Texas,Dallas,10333 Technology Blvd,1,7,0,0,1,,10333 Technology Blvd,,,,No_Match,
1957252,"March 20, 2021",Pennsylvania,Philadelphia,4234 Germantown Ave,1,5,0,0,0,,"40.018744, -75.155573","https://www.google.com/maps?q=40.018743540685,-75.155573034137",40.018743540685,-75.155573034137,Match,"4234 GERMANTOWN AVE, PHILADELPHIA, PA, 19140"
1955948,"March 18, 2021",Louisiana,New Orleans,2400 block of Annette St,0,4,0,0,0,,"29.981424, -90.063821","https://www.google.com/maps?q=29.981423523141,-90.063821204399",29.981423523141,-90.063821204399,Match,"2400 ANNETTE ST, NEW ORLEANS, LA, 70119"
1956081,"March 18, 2021",Oregon,Gresham,750 E Powell Blvd,0,4,0,0,2,,"45.497979, -122.423152","https://www.google.com/maps?q=45.497979214715,-122.423151852828",45.497979214715,-122.423151852828,Match,"750 E POWELL BLVD, GRESHAM, OR, 97030"
1956001,"March 17, 2021",California,Stockton,Oro Ave and E Main St,0,5,0,0,0,,"37.953985, -121.234262","https://www.google.com/maps?q=37.953984953977,-121.234261944632",37.953984953977,-121.234261944632,Match,"S ORO AVE & E MAIN ST, STOCKTON, CA, 95215"
1954379,"March 16, 2021",Georgia,Acworth,6468 Hwy 92,8,1,0,0,1,,"34.088498, -84.580544","https://www.google.com/maps?q=34.088498113583,-84.580544211704",34.088498113583,-84.580544211704,Match,"6468 STATE HWY 92, ACWORTH, GA, 30102"
1954950,"March 16, 2021",Arizona,Phoenix,6215 W Elm St,3,1,1,0,0,,"33.506132, -112.191248","https://www.google.com/maps?q=33.50613153307,-112.191247857804",33.50613153307,-112.191247857804,Match,"6215 W ELM ST, PHOENIX, AZ, 85033"
1953309,"March 15, 2021",Indiana,Indianapolis,2300 block of N Harding St,1,4,0,0,0,,"39.799507, -86.187621","https://www.google.com/maps?q=39.799507037798,-86.18762083716",39.799507037798,-86.18762083716,Match,"2300 N HARDING ST, INDIANAPOLIS, IN, 46208"
1952662,"March 14, 2021",Illinois,Chicago,2600 block of E 77th St,0,4,0,0,0,,"41.755477, -87.561376","https://www.google.com/maps?q=41.755477459353,-87.561376478019",41.755477459353,-87.561376478019,Match,"2600 E 77TH ST, CHICAGO, IL, 60649"
1953202,"March 14, 2021",Florida,Tampa,10101 US-92,0,4,0,0,0,,"27.995459, -82.335128","https://www.google.com/maps?q=27.995458970539,-82.335127959003",27.995458970539,-82.335127959003,Match,"10101 US HWY 92, TAMPA, FL, 33610"
1952281,"March 14, 2021",Illinois,Chicago,6798 block of S South Chicago Ave,2,13,0,0,0,,"41.771178, -87.613096","https://www.google.com/maps?q=41.771178163819,-87.613095904305",41.771178163819,-87.613095904305,Match,"6798 S SOUTH CHICAGO AVE, CHICAGO, IL, 60637"
1952151,"March 13, 2021",New York,Brooklyn,917 Flushing Ave,0,5,0,0,0,,"40.702190, -73.936076","https://www.google.com/maps?q=40.702190146951,-73.936075519833",40.702190146951,-73.936075519833,Match,"917 FLUSHING AVE, BROOKLYN, NY, 11206"
1952161,"March 13, 2021",Indiana,Indianapolis,300 block of N Randolph St,4,1,0,0,1,,"39.770546, -86.128400","https://www.google.com/maps?q=39.770545737534,-86.128399928836",39.770545737534,-86.128399928836,Match,"300 N RANDOLPH ST, INDIANAPOLIS, IN, 46201"
1951681,"March 13, 2021",Florida,Orlando,200 block of Ring Rd,1,3,0,0,0,,"28.538297, -81.451119","https://www.google.com/maps?q=28.538296865287,-81.451118987819",28.538296865287,-81.451118987819,Match,"200 RING RD, ORLANDO, FL, 32811"
1951738,"March 13, 2021",Virginia,Richmond,5100 Richmond Henrico Tpke,2,4,0,0,0,,"37.601311, -77.424599","https://www.google.com/maps?q=37.601310863929,-77.424599262106",37.601310863929,-77.424599262106,Match,"5100 RICHMOND HENRICO TPKE, RICHMOND, VA, 23227"
1951476,"March 12, 2021",North Carolina,Greensboro,100 block of Huffman St,1,3,0,0,0,,"36.074353, -79.764900","https://www.google.com/maps?q=36.074353261302,-79.764900010006",36.074353261302,-79.764900010006,Match,"100 HUFFMAN ST, GREENSBORO, NC, 27401"
1951383,"March 12, 2021",Texas,Austin,7408 Cameron Rd,0,4,0,0,0,,"30.329256, -97.690401","https://www.google.com/maps?q=30.329255749586,-97.690401378438",30.329255749586,-97.690401378438,Match,"7408 CAMERON RD, AUSTIN, TX, 78752"
1950471,"March 11, 2021",Pennsylvania,Philadelphia,1400 block of N 76th St,2,2,0,0,1,,"39.974138, -75.267246","https://www.google.com/maps?q=39.974138272025,-75.267245758303",39.974138272025,-75.267245758303,Match,"1400 N 76TH ST, PHILADELPHIA, PA, 19151"
