Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address,County_Name,County_FIPS,State_FIPS,County_State
1406070,"May 26, 2019",California,Stockton,600 block of E Oak St,1,3,0,0,0,,"37.959755, -121.284814","https://www.google.com/maps?q=37.959754608276,-121.284814425573",37.959754608276,-121.284814425573,Match,"600 E OAK ST, STOCKTON, CA, 95202",San Joaquin,077,06,"San Joaquin, 06"
1404417,"May 25, 2019",New Jersey,Trenton,225 Brunswick Ave,0,9,0,0,0,,"40.227906, -74.761559","https://www.google.com/maps?q=40.227906264816,-74.761559453651",40.227906264816,-74.761559453651,Match,"225 BRUNSWICK AVE, TRENTON, NJ, 08618",Mercer,021,34,"Mercer, 34"
1404580,"May 25, 2019",Michigan,Detroit,3400 block of Devonshire,3,2,0,0,1,,3400 block of Devonshire,,,,No_Match,,,,,
1405196,"May 25, 2019",Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,0,0,0,,Holly Cove Dr and Schooner Trail,,,,Tie,,,,,
1405317,"May 25, 2019",Maryland,Baltimore,500 block of N Belnord Ave,0,4,0,0,0,,"39.296936, -76.578731","https://www.google.com/maps?q=39.296935628855,-76.578730791841",39.296935628855,-76.578730791841,Match,"500 N BELNORD AVE, BALTIMORE, MD, 21205",Baltimore,510,24,"Baltimore, 24"
1405221,"May 25, 2019",Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,0,0,0,,N Kelley Ave and NE 26th St,,,,Tie,,,,,
1400095,"May 20, 2019",Oklahoma,Tulsa,8118 E 16th St,2,2,0,0,1,,"36.138851, -95.886351","https://www.google.com/maps?q=36.138850767203,-95.886351105915",36.138850767203,-95.886351105915,Match,"8118 E 16TH ST, TULSA, OK, 74112",Tulsa,143,40,"Tulsa, 40"
1400146,"May 20, 2019",Louisiana,Alexandria,1900 block of Bacon Street,1,4,0,0,1,,"31.286406, -92.455803","https://www.google.com/maps?q=31.286405913693,-92.455802705548",31.286405913693,-92.455802705548,Match,"1900 BACON ST, ALEXANDRIA, LA, 71301",Rapides,079,22,"Rapides, 22"
1400561,"May 20, 2019",Ohio,Columbus,2424 Sullivant Ave,0,4,0,0,0,,"39.945459, -83.063448","https://www.google.com/maps?q=39.945458949229,-83.063447537284",39.945458949229,-83.063447537284,Match,"2424 SULLIVANT AVE, COLUMBUS, OH, 43204",Franklin,049,39,"Franklin, 39"
1399820,"May 19, 2019",Oregon,Portland,226 SE Madison St,0,5,0,0,0,,"45.512881, -122.663510","https://www.google.com/maps?q=45.512880930909,-122.663510125425",45.512880930909,-122.663510125425,Match,"226 SE MADISON ST, PORTLAND, OR, 97214",Multnomah,051,41,"Multnomah, 41"
1399017,"May 18, 2019",Mississippi,Cascilla,700 Leverette Ln,0,4,1,0,0,,"33.885445, -90.121146","https://www.google.com/maps?q=33.885444668145,-90.121145846696",33.885444668145,-90.121145846696,Match,"700 LEVERETTE LN, CASCILLA, MS, 38920",Tallahatchie,135,28,"Tallahatchie, 28"
1399346,"May 18, 2019",North Carolina,Winston Salem (Winston-salem),4252 Cody Dr,2,4,0,0,1,,"36.150159, -80.250943","https://www.google.com/maps?q=36.150158606975,-80.250943112262",36.150158606975,-80.250943112262,Match,"4252 CODY DR, WINSTON SALEM, NC, 27105",Forsyth,067,37,"Forsyth, 37"
1398553,"May 18, 2019",Alabama,Atmore,100 Martin Luther King Avenue,1,8,0,0,2,,"31.030161, -87.479635","https://www.google.com/maps?q=31.030161000028,-87.479635041632",31.030161000028,-87.479635041632,Match,"100 MARTIN LUTHER KING AVE, ATMORE, AL, 36502",Escambia,053,01,"Escambia, 01"
1398593,"May 18, 2019",California,Long Beach,1616 West Pacific Coast Highway,1,4,0,0,0,,"33.789792, -118.214124","https://www.google.com/maps?q=33.78979160079,-118.214123885372",33.78979160079,-118.214123885372,Match,"1616 W PACIFIC COAST HWY, LONG BEACH, CA, 90810",Los Angeles,037,06,"Los Angeles, 06"
1398584,"May 18, 2019",Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2,0,0,1,,"41.921411, -91.655566","https://www.google.com/maps?q=41.92141066943,-91.655565792525",41.92141066943,-91.655565792525,Match,"70 KIRKWOOD CT SW, CEDAR RAPIDS, IA, 52404",Linn,113,19,"Linn, 19"
1400934,"May 18, 2019",Nebraska,Omaha,2825 Y St,0,4,0,0,0,,"41.198146, -95.954103","https://www.google.com/maps?q=41.198145892106,-95.954102813232",41.198145892106,-95.954102813232,Match,"2825 Y ST, OMAHA, NE, 68107",Douglas,055,31,"Douglas, 31"
1398538,"May 18, 2019",Indiana,Muncie,2410 W. Euclid Ave,1,6,0,0,1,,"40.207145, -85.414182","https://www.google.com/maps?q=40.207144621814,-85.414182282317",40.207144621814,-85.414182282317,Match,"2410 W EUCLID AVE, MUNCIE, IN, 47304",Delaware,035,18,"Delaware, 18"
1398876,"May 17, 2019",California,Sacramento,7326 Stockton Blvd,1,3,0,0,0,,"38.491655, -121.427110","https://www.google.com/maps?q=38.491655155963,-121.427109815154",38.491655155963,-121.427109815154,Match,"7326 STOCKTON BLVD, SACRAMENTO, CA, 95823",Sacramento,067,06,"Sacramento, 06"
1397521,"May 16, 2019",Ohio,Cleveland,9500 Cardwell Ave,0,4,0,0,0,,"41.434938, -81.617352","https://www.google.com/maps?q=41.434938164234,-81.617352311038",41.434938164234,-81.617352311038,Match,"9500 CARDWELL AVE, CLEVELAND, OH, 44105",Cuyahoga,035,39,"Cuyahoga, 39"
1396491,"May 15, 2019",Louisiana,Saint Rose,100 block of St. Rose Ave,0,4,0,0,1,,"29.945923, -90.316739","https://www.google.com/maps?q=29.945923459096,-90.316738968924",29.945923459096,-90.316738968924,Match,"100 SAINT ROSE AVE, SAINT ROSE, LA, 70087",St. Charles,089,22,"St. Charles, 22"
1395560,"May 14, 2019",California,Los Angeles,1248 W 47th St,0,4,0,0,0,,"34.000579, -118.297183","https://www.google.com/maps?q=34.000578857028,-118.297182728688",34.000578857028,-118.297182728688,Match,"1248 W 47TH ST, LOS ANGELES, CA, 90037",Los Angeles,037,06,"Los Angeles, 06"
1393960,"May 13, 2019",Louisiana,New Orleans,2100 block of 4th St,0,4,0,0,1,,2100 block of 4th St,,,,No_Match,,,,,
1394330,"May 13, 2019",Missouri,Saint Louis,4047 Shreve Ave,4,1,0,0,0,,"38.677054, -90.243467","https://www.google.com/maps?q=38.677053709663,-90.243466987288",38.677053709663,-90.243466987288,Match,"4047 SHREVE AVE, SAINT LOUIS, MO, 63115",St. Louis,510,29,"St. Louis, 29"
1392923,"May 11, 2019",Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,0,0,1,,Toll Rd and Bayberry Rd,,,,No_Match,,,,,
1391971,"May 10, 2019",Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,0,0,0,,"39.983557, -75.171115","https://www.google.com/maps?q=39.983557052472,-75.171114845251",39.983557052472,-75.171114845251,Match,"1900 N CROSKEY ST, PHILADELPHIA, PA, 19121",Philadelphia,101,42,"Philadelphia, 42"
1392313,"May 10, 2019",Missouri,Saint Louis,4000 block of Ashland Ave,0,6,0,0,0,,"38.662622, -90.226647","https://www.google.com/maps?q=38.662621873447,-90.226646532477",38.662621873447,-90.226646532477,Match,"4000 ASHLAND AVE, SAINT LOUIS, MO, 63107",St. Louis,510,29,"St. Louis, 29"
1390764,"May 8, 2019",Indiana,Indianapolis,Roache St and Rader St,0,4,0,0,0,,"39.804634, -86.178073","https://www.google.com/maps?q=39.804634438046,-86.17807286711",39.804634438046,-86.17807286711,Match,"ROACHE ST & RADER ST, INDIANAPOLIS, IN, 46208",Marion,097,18,"Marion, 18"
1389220,"May 7, 2019",Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,0,0,2,,"39.556220, -104.996643","https://www.google.com/maps?q=39.5562198104,-104.996642998779",39.5562198104,-104.996642998779,Match,"8773 S RIDGELINE BLVD, HIGHLANDS RANCH, CO, 80129",Douglas,035,08,"Douglas, 08"
1386962,"May 5, 2019",New Jersey,North Bergen,2033 45th Street,1,3,0,1,1,,"40.784441, -74.034376","https://www.google.com/maps?q=40.784441064309,-74.034375828342",40.784441064309,-74.034375828342,Match,"2033 45TH ST, NORTH BERGEN, NJ, 07047",Hudson,017,34,"Hudson, 34"
1387170,"May 5, 2019",California,Oceano,1001 Cabrillo Hwy,0,6,0,0,1,,1001 Cabrillo Hwy,,,,No_Match,,,,,
1386510,"May 4, 2019",Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,0,0,0,,Union Blvd and Northland Ave,,,,Tie,,,,,
1386929,"May 4, 2019",Indiana,Indianapolis,101 W Maryland St,0,4,0,0,0,,"39.765627, -86.160019","https://www.google.com/maps?q=39.765626635687,-86.160018800442",39.765626635687,-86.160018800442,Match,"101 W MARYLAND ST, INDIANAPOLIS, IN, 46225",Marion,097,18,"Marion, 18"
1387245,"May 4, 2019",California,Stockton,5105 Holiday Dr,1,4,0,0,0,,"38.001793, -121.297729","https://www.google.com/maps?q=38.001793492656,-121.297728539997",38.001793492656,-121.297728539997,Match,"5105 HOLIDAY DR, STOCKTON, CA, 95207",San Joaquin,077,06,"San Joaquin, 06"
1386575,"May 4, 2019",Delaware,Wilmington,W 27th St and Tatnall St,0,4,0,0,0,,"39.755773, -75.535675","https://www.google.com/maps?q=39.755772987319,-75.535675123381",39.755772987319,-75.535675123381,Match,"W 27TH ST & TATNALL ST, WILMINGTON, DE, 19802",New Castle,003,10,"New Castle, 10"
1386481,"May 3, 2019",Texas,Dallas,5400 Cedar Springs Rd,1,3,0,0,0,,"32.822974, -96.827419","https://www.google.com/maps?q=32.822974064541,-96.827419380396",32.822974064541,-96.827419380396,Match,"5400 CEDAR SPRINGS RD, DALLAS, TX, 75235",Dallas,113,48,"Dallas, 48"
1386085,"May 3, 2019",Maryland,Baltimore,1900 block of Ramsay St,0,5,0,0,0,,"39.283201, -76.646744","https://www.google.com/maps?q=39.283201337672,-76.646744102719",39.283201337672,-76.646744102719,Match,"1900 RAMSAY ST, BALTIMORE, MD, 21223",Baltimore,510,24,"Baltimore, 24"
1385642,"May 3, 2019",Maryland,Baltimore,2500 block of E Biddle St,0,4,0,0,3,,"39.304834, -76.582623","https://www.google.com/maps?q=39.304833785736,-76.582623477175",39.304833785736,-76.582623477175,Match,"2500 E BIDDLE ST, BALTIMORE, MD, 21213",Baltimore,510,24,"Baltimore, 24"
1384553,"May 1, 2019",Massachusetts,Boston,32 Windermere Rd,1,3,0,0,0,,"42.314435, -71.062364","https://www.google.com/maps?q=42.314435122659,-71.062364165657",42.314435122659,-71.062364165657,Match,"32 WINDERMERE RD, BOSTON, MA, 02125",Suffolk,025,25,"Suffolk, 25"
1383752,"April 30, 2019",North Carolina,Charlotte,9214 South Library Ln,2,4,0,0,1,,"35.306509, -80.731936","https://www.google.com/maps?q=35.306509064137,-80.731935784755",35.306509064137,-80.731935784755,Match,"9214 LIBRARY LN, CHARLOTTE, NC, 28223",Mecklenburg,119,37,"Mecklenburg, 37"
1381857,"April 28, 2019",Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,0,0,0,,"36.171939, -86.807728","https://www.google.com/maps?q=36.171938522646,-86.807728452969",36.171938522646,-86.807728452969,Match,"1407 DR DB TODD JR BLVD, NASHVILLE, TN, 37208",Davidson,037,47,"Davidson, 47"
1382711,"April 28, 2019",Ohio,West Chester,4637 Wyndtree Dr,4,0,0,0,1,,"39.349982, -84.465735","https://www.google.com/maps?q=39.349982032516,-84.465734874785",39.349982032516,-84.465734874785,Match,"4637 WYNDTREE DR, WEST CHESTER, OH, 45069",Butler,017,39,"Butler, 39"
1382099,"April 28, 2019",Alabama,Birmingham,514 19th St Ensley,0,4,0,0,0,,"33.513081, -86.896711","https://www.google.com/maps?q=33.513081320464,-86.896710794504",33.513081320464,-86.896710794504,Match,"514 19TH ST, BIRMINGHAM, AL, 35218",Jefferson,073,01,"Jefferson, 01"
1381979,"April 28, 2019",Maryland,Baltimore,2544 Edmondson Ave,1,7,0,0,0,,"39.294745, -76.657801","https://www.google.com/maps?q=39.294744959845,-76.657800703358",39.294744959845,-76.657800703358,Match,"2544 EDMONDSON AVE, BALTIMORE, MD, 21223",Baltimore,510,24,"Baltimore, 24"
1381771,"April 27, 2019",Mississippi,Jackson,700 block of Monterey St,1,3,0,0,0,,"32.276551, -90.227211","https://www.google.com/maps?q=32.276550721055,-90.227211234372",32.276550721055,-90.227211234372,Match,"700 MONTEREY ST, JACKSON, MS, 39204",Hinds,049,28,"Hinds, 28"
1381273,"April 27, 2019",California,Poway,16934 Chabad Way,1,3,0,0,1,,"33.019496, -117.053290","https://www.google.com/maps?q=33.019495985083,-117.053290105059",33.019495985083,-117.053290105059,Match,"16934 CHABAD WAY, POWAY, CA, 92064",San Diego,073,06,"San Diego, 06"
1381734,"April 27, 2019",California,Los Angeles,700 N San Fernando Rd,0,6,0,0,0,,"34.089217, -118.226381","https://www.google.com/maps?q=34.08921735445,-118.226381422956",34.08921735445,-118.226381422956,Match,"700 N SAN FERNANDO RD, LOS ANGELES, CA, 90065",Los Angeles,037,06,"Los Angeles, 06"
1377519,"April 21, 2019",Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,0,0,0,,"39.935195, -75.195787","https://www.google.com/maps?q=39.935195163536,-75.195786508508",39.935195163536,-75.195786508508,Match,"1500 S 31ST ST, PHILADELPHIA, PA, 19146",Philadelphia,101,42,"Philadelphia, 42"
1376873,"April 20, 2019",Tennessee,Memphis,761 Chestnut Ave,0,6,0,0,0,,"35.102216, -90.037013","https://www.google.com/maps?q=35.102216147818,-90.037013357744",35.102216147818,-90.037013357744,Match,"761 CHESTNUT AVE, MEMPHIS, TN, 38106",Shelby,157,47,"Shelby, 47"
1376883,"April 19, 2019",Kansas,Wichita,1628 S George Washington Blvd,0,4,0,0,1,,"37.664107, -97.300625","https://www.google.com/maps?q=37.664107088353,-97.300624636771",37.664107088353,-97.300624636771,Match,"1628 S GEORGE WASHINGTON BLVD, WICHITA, KS, 67211",Sedgwick,173,20,"Sedgwick, 20"
1375235,"April 18, 2019",Kentucky,Louisville,4000 block of Bells Ln,0,4,0,0,0,,"38.223133, -85.826441","https://www.google.com/maps?q=38.223133204128,-85.826440982634",38.223133204128,-85.826440982634,Match,"4000 BELLS LN, LOUISVILLE, KY, 40211",Jefferson,111,21,"Jefferson, 21"
1373557,"April 16, 2019",Maryland,Germantown,18700 block of Curry Powder Ln,1,3,0,0,0,,"39.162051, -77.264617","https://www.google.com/maps?q=39.1620512788,-77.264617318791",39.1620512788,-77.264617318791,Match,"18700 CURRY POWDER LN, GERMANTOWN, MD, 20874",Montgomery,031,24,"Montgomery, 24"
1370795,"April 14, 2019",Florida,Miami,NW 19th Ave and 60th St,2,2,0,0,1,,"25.829770, -80.228850","https://www.google.com/maps?q=25.829770300211,-80.228850307575",25.829770300211,-80.228850307575,Match,"NW 19TH AVE & NW 60TH ST, MIAMI, FL, 33142",Miami-Dade,086,12,"Miami-Dade, 12"
1371024,"April 14, 2019",California,Vallejo,100 block of Princeton Ave,1,3,0,0,0,,"38.150713, -122.251522","https://www.google.com/maps?q=38.150712716861,-122.251521906431",38.150712716861,-122.251521906431,Match,"100 PRINCETON AVE, VALLEJO, CA, 94589",Solano,095,06,"Solano, 06"
1371065,"April 14, 2019",California,Stockton,2539 E Main St,0,4,0,0,0,,"37.954877, -121.251347","https://www.google.com/maps?q=37.95487730689,-121.251346892922",37.95487730689,-121.251346892922,Match,"2539 E MAIN ST, STOCKTON, CA, 95205",San Joaquin,077,06,"San Joaquin, 06"
1374920,"April 13, 2019",California,Moreno Valley,23500 block of Alessandro Blvd,0,4,0,0,0,,"33.917326, -117.252364","https://www.google.com/maps?q=33.917326399223,-117.252364448378",33.917326399223,-117.252364448378,Match,"23500 ALESSANDRO BLVD, MORENO VALLEY, CA, 92553",Riverside,065,06,"Riverside, 06"
1370269,"April 12, 2019",Illinois,Carbondale,119 N Washington St,0,4,0,0,3,,"37.727550, -89.215341","https://www.google.com/maps?q=37.727550110051,-89.215341174426",37.727550110051,-89.215341174426,Match,"119 N WASHINGTON ST, CARBONDALE, IL, 62901",Jackson,077,17,"Jackson, 17"
1368597,"April 11, 2019",Maryland,Baltimore,2200 block of Ruskin Ave,1,3,0,0,1,,"39.314854, -76.648188","https://www.google.com/maps?q=39.314854091694,-76.648188008901",39.314854091694,-76.648188008901,Match,"2200 RUSKIN AVE, BALTIMORE, MD, 21217",Baltimore,510,24,"Baltimore, 24"
1369109,"April 11, 2019",California,Los Angeles,E 103rd St and S Main St,1,4,0,0,0,,"33.942847, -118.273875","https://www.google.com/maps?q=33.942847157797,-118.273874816627",33.942847157797,-118.273874816627,Match,"E 103RD ST & S MAIN ST, LOS ANGELES, CA, 90003",Los Angeles,037,06,"Los Angeles, 06"
1369148,"April 11, 2019",Arizona,Phoenix,7112 W Minnezona Ave,3,2,0,0,1,,"33.503967, -112.212085","https://www.google.com/maps?q=33.503967119124,-112.212085203893",33.503967119124,-112.212085203893,Match,"7112 W MINNEZONA AVE, PHOENIX, AZ, 85033",Maricopa,013,04,"Maricopa, 04"
1367011,"April 9, 2019",Missouri,Kansas City,5339 Michigan Ave,1,3,0,0,0,,"39.029728, -94.563076","https://www.google.com/maps?q=39.029727537303,-94.563075812021",39.029727537303,-94.563075812021,Match,"5339 MICHIGAN AVE, KANSAS CITY, MO, 64130",Jackson,095,29,"Jackson, 29"
1365173,"April 7, 2019",Delaware,Wilmington,940 N Pine St,0,6,0,0,0,,"39.742489, -75.541919","https://www.google.com/maps?q=39.74248870589,-75.541919309415",39.74248870589,-75.541919309415,Match,"940 N PINE ST, WILMINGTON, DE, 19801",New Castle,003,10,"New Castle, 10"
1365052,"April 7, 2019",North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,0,0,1,,"36.099935, -80.247261","https://www.google.com/maps?q=36.099934967758,-80.247261125445",36.099934967758,-80.247261125445,Match,"515 CHERRY ST N, WINSTON SALEM, NC, 27101",Forsyth,067,37,"Forsyth, 37"
1365077,"April 7, 2019",Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,0,0,0,,"39.800555, -86.105302","https://www.google.com/maps?q=39.800554784277,-86.105301767189",39.800554784277,-86.105301767189,Match,"3600 ROOSEVELT AVE, INDIANAPOLIS, IN, 46218",Marion,097,18,"Marion, 18"
